GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize
37294,The International 2019,08/15/19,08/25/19,Shanghai,China,1,34330069
29385,The International 2018,08/15/18,08/25/18,Vancouver,Canada,1,25532177
24181,The International 2017,08-02-2017,08-12-2017,Seattle,United States,1,24687919
19287,The International 2016,08-03-2016,08/13/16,Seattle,United States,1,20770460
12894,The International 2015,08-03-2015,08-08-2015,Seattle/Washington,United States,1,18429613.05
36422,Fortnite World Cup Finals 2019 - Solo,07/28/19,07/28/19,New York,United States,0,15287500
36359,Fortnite World Cup Finals 2019 - Duo,07/27/19,07/27/19,New York,United States,1,15100000
6418,The International 2014,07-08-2014,07/21/14,Seattle/Washington,United States,1,10931103
46021,PGI.S 2021 Main Event,02-05-2021,03/28/21,Incheon,South Korea,1,7068071
30411,LoL 2018 World Championship,10-01-2018,11-03-2018,Seoul,South Korea,1,6450000
20345,LoL 2016 World Championship,09/29/16,10/29/16,San Francisco,United States,1,5070000
25365,LoL 2017 World Championship,09/23/17,11-04-2017,Wuhan,China,1,4946969
45303,Honor of Kings World Champion Cup 2020,07/15/20,08/16/20,Shanghai/Beijing,China,1,4606400
43235,Call of Duty League Championship 2019,08/19/20,08/30/20,N/A,North America,1,4600000
39365,PUBG Global Championship 2019,11-08-2019,11-02-2019,Manhattan Beach/Oakland,United States,1,4600000
30387,Fortnite Fall Skirmish Series - Clubs Standings,10/28/18,10/28/18,N/A,Online,1,4000000
38051,Overwatch League - Season 2 Playoffs,08/30/19,09/29/19,Los Angeles/Philadelphia,United States,1,3500000
36331,Fortnite World Cup Finals 2019 - Creative,07/26/19,07/26/19,New York,United States,1,3250000
9205,DAC 2015,01-05-2015,02-09-2015,Shangai,China,1,3057521
43694,Overwatch League 2020 - Playoffs - Grand Finals,10-08-2020,10-10-2020,N/A,Online,1,3050000
40441,Six Invitational 2020,02-07-2020,02/16/20,Montreal,Canada,1,3000000
20867,The Boston Major 2016,12-03-2016,12-10-2016,Boston,United States,1,3000000
15444,The Frankfurt Major 2015,11/16/15,11/21/15,Frankfurt,Germany,1,3000000
23088,The Kiev Major 2017,04/24/17,04/30/17,Kiev,Ukraine,1,3000000
18758,The Manila Major 2016,06-03-2016,06-12-2016,Manila,Philippines,1,3000000
17314,The Shanghai Major 2016,03-02-2016,03-06-2016,Shangai,China,1,3000000
3163,The International 2013,08-02-2013,08-11-2013,Seattle &  Washington,United States,1,2874381
44740,Peacekeeper Elite League 2020 Season 3,09/25/20,10/25/20,Xi'an,China,1,2624145.6
8885,Smite World Championship 2015,01-09-2015,01-01-2015,Atlanta,United States,1,2612259
17526,Halo World Championship 2016,03/18/16,03/20/16,Hollywood,United States,1,2500000
43998,LoL 2020 World Championship,09/25/20,10/31/20,Shanghai,China,1,2340000
38992,LoL 2019 World Championship,10-02-2019,11-10-2019,Berlin,Germany,1,2225000
36883,Honor of Kings World Champion Cup 2019,07-10-2019,08-10-2019,Shenzhen,China,1,2166994.2
7376,LoL 2014 World Championship,09/18/14,10/19/14,Taipei/Singapore,Taiwan/Singapore,1,2130000
15149,LoL 2015 World Championship,10-01-2015,10/31/15,Paris,France,1,2130000
3577,LoL Season 3 World Championship,09/15/13,10-04-2013,Los Angeles,United States,1,2050000
19565,Call of Duty XP Championship 2016,09-01-2016,09-04-2016,Los Angeles,United States,1,2000000
36978,CWL Championship 2019,08/14/19,08/18/19,Los Angeles,United States,1,2000000
2655,LoL Season 2 World Championship,10-04-2012,10/13/12,Los Angeles,United States,1,2000000
33130,Six Invitational 2019,02-11-2019,02/17/19,Montreal,Canada,1,2000000
30359,Fortnite Fall Skirmish Series - Week 6 - Grand Finabls,10/28/18,10/28/18,San José,United States,1,1942500
44745,Peacekeeper Elite Championship 2020,11/14/20,11/15/20,Shanghai,China,1,1816080
36085,King Pro League Fall 2018,09-12-2018,12/22/18,Chengdu/Shanghai,China,1,1740360
28780,Overwatch League - Season 1 Playoffs,07-11-2018,07/28/18,New York,United States,1,1700000
23302,Mid-Season Invitational 2017,04/28/17,05/21/17,São Paulo,Brazil,1,1690000
2316,The International 2011,08/17/11,08/21/11,Cologne,Germany,1,1600000
2527,The International 2012,08/26/12,09-02-2012,Seattle/Washington,United States,1,1600000
24197,CWL Championship 2017,08-09-2017,08/13/17,Orlando,United States,1,1525000
29547,Fortnite Summer Skirmish Series - Week 8,08-03-2018,09-03-2018,Seattle,United States,0,1501250
28057,China Dota2 Supermajor 2018,06-02-2018,06-10-2018,Shanghai,China,1,1500000
29178,CWL Championship 2018,08/15/18,08/19/18,Columbus,United States,1,1500000
21643,WESG 2016 (CS:GO),01-12-2017,01/15/17,Changzhou,China,1,1500000
21642,WESG 2016 (Dota 2),01-12-2017,01/15/17,Changzhou,China,1,1500000
27168,WESG 2017 (CS:GO Male),03/13/18,03/18/18,Haikou,China,1,1500000
27167,WESG 2017 (Dota 2),03/13/18,03/18/18,Haikou/Hainan,China,1,1500000
19191,ELEAGUE Season 1,05/24/16,07/30/16,Atlanta,United States,1,1410000
40509,Shadowverse World Grand Prix 2019,12/25/19,12/27/19,Tokyo/Saitama,Japan,0,1387727.29
27858,Mid-Season Invitational 2018,05-03-2018,05/20/18,Berlin/Paris,Germany/France,1,1370520
42804,Winter Royale 2019 EU Day 1 PC,12/20/19,12/20/19,N/A,Europe,1,1350000
42823,Winter Royale 2019 EU Day 2 PC,12/21/19,12/21/19,N/A,Europe,1,1350000
42826,Winter Royale 2019 EU Day 3 PC,12/22/19,12/22/19,N/A,Europe,1,1350000
45966,FNCS Chapter 2 Season 5 Europe Grand Finals,03/13/21,03/14/21,N/A,Online,0,1347000
32947,Shadowverse World Grand Prix 2018,12/15/18,12/16/18,Tokyo,Japan,0,1310000
36084,King Pro League Spring 2019,03-06-2019,06/15/19,Chengdu/Shanghai,China,1,1304451
28337,Overwatch League - Season 1 Regular Season,01-10-2018,06/17/18,Los Angeles,United States,1,1300000
36239,CWL Pro League Finals 2019,07/19/19,07/21/19,Miami,United States,1,1249000
45322,King Pro League Fall 2020,09/16/20,12/19/20,Shanghai/Guangzhou/Wuhan/Chongqing,China,1,1221680.04
37936,Fortnite Champion Series - Season X - EU - Finals,09/20/19,09/22/19,N/A,Online,1,1200000
45543,PUBG Mobile Global Championship S0 - Finals,01/24/21,01/26/21,Dubai,United Arab Emirates,1,1200000
